team,maps_played,wins_draws_lose,total_kills,total_death,k_d_ratio,team,name,total_kills_from_crew,headshots_from_crew,total_death_from_crew,k_d_ratio_from_crew,maps_played_from_crew,rating_2_0_from_crew,team,opponent,map_map,result,w_l
,,,,,,,,,,,,,,ARCRED,Alliance,Inferno,13 - 10,W
,,,,,,,,,,,,,,ARCRED,Alliance,Ancient,13 - 6,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,ECLOT,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Rebels,Vertigo,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Blessed,Anubis,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,ex-Sprout,Anubis,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Metizport,Ancient,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Overpass,1 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Espionage,Ancient,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Espionage,Vertigo,13 - 1,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,500,Overpass,4 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BetBoom,Ancient,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Endpoint,Overpass,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Young Ninjas,Overpass,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,500,Anubis,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Overpass,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Vertigo,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Anubis,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,PERA,Anubis,17 - 19,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Viperio,Overpass,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sampi,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Astralis,Mirage,3 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Preasy,Inferno,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,lajtbitexe,Ancient,14 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Overpass,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Anonymo,Inferno,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,sYnck,Anubis,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Anubis,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Space,Mirage,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Inferno,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,GHR,Inferno,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,9 Pandas,Anubis,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,FORZE,Inferno,3 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Anubis,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,ENCE Academy,Overpass,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,GenOne,Mirage,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,ECSTATIC,Inferno,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Into the Breach,Vertigo,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Ancient,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,ECLOT,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,ECLOT,Inferno,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Rebels,Vertigo,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Rebels,Ancient,12 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Rebels,Inferno,13 - 2,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Blessed,Anubis,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Blessed,Ancient,17 - 19,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,ex-Sprout,Anubis,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,ex-Sprout,Vertigo,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,ex-Sprout,Ancient,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Metizport,Ancient,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Metizport,Mirage,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Metizport,Inferno,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Overpass,1 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Mirage,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Espionage,Ancient,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Espionage,Overpass,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Espionage,Vertigo,13 - 1,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Espionage,Overpass,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,500,Overpass,4 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,500,Ancient,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,500,Anubis,13 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BetBoom,Ancient,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BetBoom,Overpass,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,BetBoom,Anubis,14 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Endpoint,Overpass,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Endpoint,Inferno,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Endpoint,Ancient,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Young Ninjas,Overpass,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Young Ninjas,Inferno,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Young Ninjas,Vertigo,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,500,Anubis,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,500,Mirage,16 - 14,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Overpass,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Ancient,12 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Vertigo,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Ancient,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Anubis,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Ancient,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,PERA,Anubis,17 - 19,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Viperio,Overpass,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sampi,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Astralis,Mirage,3 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Astralis,Ancient,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Preasy,Inferno,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Preasy,Vertigo,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Preasy,Anubis,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Preasy,Ancient,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,lajtbitexe,Ancient,14 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,lajtbitexe,Overpass,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,lajtbitexe,Mirage,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Overpass,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Inferno,13 - 6,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Anonymo,Inferno,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Anonymo,Ancient,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,sYnck,Anubis,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,sYnck,Overpass,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,sYnck,Mirage,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Anubis,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Inferno,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Space,Mirage,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Space,Anubis,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Inferno,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Anubis,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Ancient,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,GHR,Inferno,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,GHR,Anubis,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,GHR,Ancient,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,9 Pandas,Anubis,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,9 Pandas,Ancient,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,9 Pandas,Overpass,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Ancient,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,FORZE,Inferno,3 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,FORZE,Ancient,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Anubis,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Overpass,2 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Ancient,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,ENCE Academy,Overpass,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,ENCE Academy,Mirage,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,GenOne,Mirage,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,GenOne,Inferno,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,ECSTATIC,Inferno,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,ECSTATIC,Ancient,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,ECSTATIC,Overpass,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Into the Breach,Vertigo,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Into the Breach,Anubis,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Ancient,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Vertigo,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Overpass,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,AMKAL,Mirage,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Mirage,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Anubis,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,MOUZ NXT,Vertigo,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,brazylijski luz,Vertigo,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Passion UA,Overpass,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,fnatic,Ancient,3 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,RUBY,Mirage,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Alliance,Ancient,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Anubis,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Illuminar,Overpass,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,TSM,Mirage,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Inferno,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Rebels,Ancient,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Lilmix,Overpass,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Vertigo,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,GODSENT,Nuke,13 - 2,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Zero Tenacity,Overpass,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,TUSTE CHOPAKI,Overpass,13 - 2,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,The Witchers,Overpass,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,lajtbitexe,Overpass,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Ancient,14 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Inferno,3 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Vertigo,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Overpass,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Into the Breach,Ancient,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,IKLA,Anubis,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Inferno,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,PGE Turow,Ancient,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Anubis,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Anonymo,Ancient,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Inferno,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,UNiTY,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Overpass,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Inferno,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,AMKAL,Mirage,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,AMKAL,Overpass,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Mirage,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Inferno,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Anubis,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Overpass,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,MOUZ NXT,Vertigo,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,MOUZ NXT,Overpass,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,brazylijski luz,Vertigo,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,brazylijski luz,Overpass,14 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,brazylijski luz,Ancient,13 - 8,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Passion UA,Overpass,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Passion UA,Ancient,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,fnatic,Ancient,3 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,fnatic,Inferno,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,RUBY,Mirage,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Alliance,Ancient,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Alliance,Vertigo,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Alliance,Anubis,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Anubis,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Entropiq,Inferno,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Illuminar,Overpass,13 - 10,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Illuminar,Ancient,13 - 1,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,TSM,Mirage,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,TSM,Overpass,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Inferno,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Mirage,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sprout,Anubis,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Ancient,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Overpass,19 - 16,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Rebels,Ancient,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Lilmix,Overpass,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Lilmix,Mirage,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Vertigo,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Anubis,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,GODSENT,Nuke,13 - 2,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,GODSENT,Ancient,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,GODSENT,Overpass,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Zero Tenacity,Overpass,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Zero Tenacity,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,TUSTE CHOPAKI,Overpass,13 - 2,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,TUSTE CHOPAKI,Inferno,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,The Witchers,Overpass,13 - 9,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,The Witchers,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,The Witchers,Vertigo,12 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,lajtbitexe,Overpass,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,lajtbitexe,Ancient,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,lajtbitexe,Mirage,5 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Ancient,14 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Anubis,9 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Guild Eagles,Overpass,13 - 7,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Inferno,3 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Anubis,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Vertigo,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Overpass,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Overpass,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,BIG Academy,Ancient,2 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Into the Breach,Ancient,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Into the Breach,Vertigo,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,IKLA,Anubis,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,IKLA,Ancient,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Inferno,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Aurora,Ancient,10 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,PGE Turow,Ancient,11 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,PGE Turow,Inferno,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Anubis,7 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Inferno,16 - 14,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,SINNERS,Ancient,14 - 16,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Anonymo,Ancient,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Anonymo,Inferno,13 - 5,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Anonymo,Overpass,6 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Inferno,13 - 4,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Anubis,13 - 6,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,Sangal,Ancient,8 - 13,L
,,,,,,,,,,,,,,ALTERNATE aTTaX,UNiTY,Anubis,13 - 11,W
,,,,,,,,,,,,,,ALTERNATE aTTaX,UNiTY,Ancient,13 - 4,W
,,,,,,,,,,,,,,ENCE,OG,Vertigo,11 - 13,L
,,,,,,,,,,,,,,ENCE,Aurora Young Blud,Ancient,13 - 4,W
,,,,,,,,,,,,,,ENCE,paiN,Nuke,3 - 13,L
,,,,,,,,,,,,,,ENCE,Imperial,Anubis,19 - 22,L
,,,,,,,,,,,,,,ENCE,HEROIC,Overpass,5 - 13,L
,,,,,,,,,,,,,,ENCE,Astralis,Ancient,13 - 9,W
,,,,,,,,,,,,,,ENCE,GamerLegion,Nuke,16 - 14,W
,,,,,,,,,,,,,,ENCE,Spirit,Overpass,0 - 13,L
,,,,,,,,,,,,,,ENCE,MOUZ,Ancient,3 - 13,L
,,,,,,,,,,,,,,ENCE,Vitality,Nuke,13 - 8,W
,,,,,,,,,,,,,,ENCE,Astralis,Ancient,13 - 4,W
,,,,,,,,,,,,,,ENCE,Natus Vincere,Nuke,11 - 13,L
,,,,,,,,,,,,,,ENCE,Apeks,Anubis,11 - 13,L
,,,,,,,,,,,,,,ENCE,fnatic,Overpass,13 - 5,W
,,,,,,,,,,,,,,ENCE,FaZe,Anubis,11 - 13,L
,,,,,,,,,,,,,,ENCE,Astralis,Ancient,2 - 13,L
,,,,,,,,,,,,,,ENCE,FaZe,Anubis,0 - 13,L
,,,,,,,,,,,,,,ENCE,fnatic,Vertigo,13 - 10,W
,,,,,,,,,,,,,,ENCE,OG,Vertigo,11 - 13,L
,,,,,,,,,,,,,,ENCE,OG,Anubis,10 - 13,L
,,,,,,,,,,,,,,ENCE,OG,Ancient,13 - 11,W
,,,,,,,,,,,,,,ENCE,Aurora Young Blud,Ancient,13 - 4,W
,,,,,,,,,,,,,,ENCE,Aurora Young Blud,Anubis,13 - 5,W
,,,,,,,,,,,,,,ENCE,paiN,Nuke,3 - 13,L
,,,,,,,,,,,,,,ENCE,Imperial,Anubis,19 - 22,L
,,,,,,,,,,,,,,ENCE,HEROIC,Overpass,5 - 13,L
,,,,,,,,,,,,,,ENCE,HEROIC,Nuke,13 - 10,W
,,,,,,,,,,,,,,ENCE,HEROIC,Ancient,11 - 13,L
,,,,,,,,,,,,,,ENCE,Astralis,Ancient,13 - 9,W
,,,,,,,,,,,,,,ENCE,Astralis,Vertigo,13 - 6,W
,,,,,,,,,,,,,,ENCE,GamerLegion,Nuke,16 - 14,W
,,,,,,,,,,,,,,ENCE,Spirit,Overpass,0 - 13,L
,,,,,,,,,,,,,,ENCE,MOUZ,Ancient,3 - 13,L
,,,,,,,,,,,,,,ENCE,MOUZ,Vertigo,5 - 13,L
,,,,,,,,,,,,,,ENCE,Vitality,Nuke,13 - 8,W
,,,,,,,,,,,,,,ENCE,Vitality,Anubis,4 - 13,L
,,,,,,,,,,,,,,ENCE,Vitality,Vertigo,13 - 6,W
,,,,,,,,,,,,,,ENCE,Astralis,Ancient,13 - 4,W
,,,,,,,,,,,,,,ENCE,Astralis,Vertigo,13 - 10,W
,,,,,,,,,,,,,,ENCE,Natus Vincere,Nuke,11 - 13,L
,,,,,,,,,,,,,,ENCE,Natus Vincere,Ancient,13 - 11,W
,,,,,,,,,,,,,,ENCE,Natus Vincere,Anubis,4 - 13,L
,,,,,,,,,,,,,,ENCE,Apeks,Anubis,11 - 13,L
,,,,,,,,,,,,,,ENCE,Apeks,Vertigo,7 - 13,L
,,,,,,,,,,,,,,ENCE,fnatic,Overpass,13 - 5,W
,,,,,,,,,,,,,,ENCE,fnatic,Vertigo,13 - 2,W
,,,,,,,,,,,,,,ENCE,fnatic,Anubis,7 - 13,L
,,,,,,,,,,,,,,ENCE,FaZe,Anubis,11 - 13,L
,,,,,,,,,,,,,,ENCE,FaZe,Ancient,14 - 16,L
,,,,,,,,,,,,,,ENCE,FaZe,Nuke,13 - 8,W
,,,,,,,,,,,,,,ENCE,Astralis,Ancient,2 - 13,L
,,,,,,,,,,,,,,ENCE,Astralis,Vertigo,13 - 10,W
,,,,,,,,,,,,,,ENCE,Astralis,Overpass,2 - 13,L
,,,,,,,,,,,,,,ENCE,FaZe,Anubis,0 - 13,L
,,,,,,,,,,,,,,ENCE,FaZe,Nuke,5 - 13,L
,,,,,,,,,,,,,,ENCE,fnatic,Vertigo,13 - 10,W
,,,,,,,,,,,,,,ENCE,fnatic,Anubis,13 - 10,W
,,,,,,,,,,,,,,ENCE,fnatic,Overpass,10 - 13,L
,,,,,,,,,,,,,,ENCE,FORZE,Ancient,13 - 16,L
,,,,,,,,,,,,,,ENCE,FURIA,Ancient,9 - 13,L
,,,,,,,,,,,,,,ENCE,KOI,Nuke,16 - 12,W
,,,,,,,,,,,,,,ENCE,B8,Ancient,14 - 16,L
,,,,,,,,,,,,,,ENCE,Metizport,Ancient,13 - 5,W
,,,,,,,,,,,,,,ENCE,Vitality,Nuke,4 - 13,L
